fecha_fallecimiento,departamento,n,corte
2020-05-07,LAMBAYEQUE,27,2020-08-01
2020-05-07,LIMA,102,2020-08-01
2020-05-07,LORETO,8,2020-08-01
2020-05-07,PIURA,16,2020-08-01
2020-05-07,SAN MARTIN,2,2020-08-01
2020-05-07,TUMBES,3,2020-08-01
2020-05-07,UCAYALI,3,2020-08-01
2020-05-08,ANCASH,11,2020-08-01
2020-05-08,CALLAO,20,2020-08-01
2020-05-08,ICA,8,2020-08-01
2020-05-08,JUNIN,4,2020-08-01
2020-05-08,LA LIBERTAD,6,2020-08-01
2020-05-08,LAMBAYEQUE,19,2020-08-01
2020-05-08,LIMA,104,2020-08-01
2020-05-08,LORETO,15,2020-08-01
2020-05-08,PIURA,29,2020-08-01
2020-05-08,SAN MARTIN,2,2020-08-01
2020-05-08,TUMBES,2,2020-08-01
2020-05-08,UCAYALI,4,2020-08-01
2020-05-09,AMAZONAS,1,2020-08-01
2020-05-09,ANCASH,9,2020-08-01
2020-05-09,CALLAO,15,2020-08-01
2020-05-09,HUANUCO,1,2020-08-01
2020-05-09,ICA,3,2020-08-01
2020-05-09,JUNIN,3,2020-08-01
2020-05-09,LA LIBERTAD,8,2020-08-01
2020-05-09,LAMBAYEQUE,21,2020-08-01
2020-05-09,LIMA,130,2020-08-01
2020-05-09,LORETO,19,2020-08-01
2020-05-09,MADRE DE DIOS,1,2020-08-01
2020-05-09,PIURA,18,2020-08-01
2020-05-09,SAN MARTIN,1,2020-08-01
2020-05-09,TUMBES,4,2020-08-01
2020-05-09,UCAYALI,3,2020-08-01
2020-05-10,AMAZONAS,2,2020-08-01
2020-05-10,ANCASH,8,2020-08-01
2020-05-10,AREQUIPA,1,2020-08-01
2020-05-10,CAJAMARCA,1,2020-08-01
2020-05-10,CALLAO,16,2020-08-01
2020-05-10,ICA,3,2020-08-01
2020-05-10,JUNIN,6,2020-08-01
2020-05-10,LAMBAYEQUE,19,2020-08-01
2020-05-10,LIMA,123,2020-08-01
2020-05-10,LORETO,15,2020-08-01
2020-05-10,PIURA,26,2020-08-01
2020-05-10,SAN MARTIN,3,2020-08-01
2020-05-10,TUMBES,1,2020-08-01
2020-05-10,UCAYALI,2,2020-08-01
2020-05-11,AMAZONAS,1,2020-08-01
2020-05-11,ANCASH,6,2020-08-01
2020-05-11,AREQUIPA,1,2020-08-01
2020-05-11,CALLAO,19,2020-08-01
2020-05-11,ICA,14,2020-08-01
2020-05-11,JUNIN,2,2020-08-01
2020-05-11,LA LIBERTAD,10,2020-08-01
2020-05-11,LAMBAYEQUE,20,2020-08-01
2020-05-11,LIMA,121,2020-08-01
2020-05-11,LORETO,24,2020-08-01
2020-05-11,PIURA,25,2020-08-01
2020-05-11,TUMBES,6,2020-08-01
2020-05-11,UCAYALI,7,2020-08-01
