fecha_fallecimiento,departamento,provincia,n,corte
2020-04-16,LAMBAYEQUE,CHICLAYO,7,2020-08-01
2020-04-16,LAMBAYEQUE,FERREÑAFE,3,2020-08-01
2020-04-16,LAMBAYEQUE,NA,3,2020-08-01
2020-04-16,LIMA,BARRANCA,1,2020-08-01
2020-04-16,LIMA,CAÑETE,2,2020-08-01
2020-04-16,LIMA,LIMA,52,2020-08-01
2020-04-16,LORETO,MAYNAS,2,2020-08-01
2020-04-16,LORETO,NA,1,2020-08-01
2020-04-16,PIURA,AYABACA,1,2020-08-01
2020-04-16,PIURA,PIURA,6,2020-08-01
2020-04-16,UCAYALI,CORONEL PORTILLO,1,2020-08-01
2020-04-17,ANCASH,SANTA,1,2020-08-01
2020-04-17,CALLAO,CALLAO,4,2020-08-01
2020-04-17,CALLAO,NA,2,2020-08-01
2020-04-17,ICA,CHINCHA,1,2020-08-01
2020-04-17,ICA,PISCO,1,2020-08-01
2020-04-17,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-04-17,LAMBAYEQUE,CHICLAYO,11,2020-08-01
2020-04-17,LAMBAYEQUE,FERREÑAFE,5,2020-08-01
2020-04-17,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-17,LAMBAYEQUE,NA,3,2020-08-01
2020-04-17,LIMA,CAÑETE,1,2020-08-01
2020-04-17,LIMA,HUARAL,1,2020-08-01
2020-04-17,LIMA,LIMA,43,2020-08-01
2020-04-17,LIMA,NA,5,2020-08-01
2020-04-17,LORETO,MAYNAS,3,2020-08-01
2020-04-17,LORETO,NA,2,2020-08-01
2020-04-17,PASCO,DANIEL ALCIDES CARRION,1,2020-08-01
2020-04-17,PIURA,PIURA,5,2020-08-01
2020-04-17,PIURA,SULLANA,1,2020-08-01
2020-04-17,TUMBES,TUMBES,1,2020-08-01
2020-04-18,ANCASH,SANTA,5,2020-08-01
2020-04-18,CALLAO,CALLAO,7,2020-08-01
2020-04-18,CALLAO,NA,1,2020-08-01
2020-04-18,ICA,CHINCHA,1,2020-08-01
2020-04-18,JUNIN,HUANCAYO,2,2020-08-01
2020-04-18,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-04-18,LAMBAYEQUE,CHICLAYO,9,2020-08-01
2020-04-18,LAMBAYEQUE,FERREÑAFE,3,2020-08-01
2020-04-18,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-18,LAMBAYEQUE,NA,2,2020-08-01
2020-04-18,LIMA,HUAURA,2,2020-08-01
2020-04-18,LIMA,LIMA,39,2020-08-01
2020-04-18,LIMA,NA,4,2020-08-01
2020-04-18,LORETO,MAYNAS,3,2020-08-01
2020-04-18,LORETO,NA,1,2020-08-01
2020-04-18,PIURA,MORROPON,1,2020-08-01
2020-04-18,PIURA,PAITA,1,2020-08-01
2020-04-18,PIURA,PIURA,3,2020-08-01
2020-04-18,PIURA,SULLANA,1,2020-08-01
2020-04-18,TUMBES,TUMBES,1,2020-08-01
2020-04-18,UCAYALI,CORONEL PORTILLO,2,2020-08-01
2020-04-19,ANCASH,SANTA,7,2020-08-01
2020-04-19,AREQUIPA,AREQUIPA,2,2020-08-01
2020-04-19,AREQUIPA,CAMANA,1,2020-08-01
2020-04-19,CALLAO,CALLAO,2,2020-08-01
2020-04-19,CALLAO,NA,1,2020-08-01
2020-04-19,ICA,PALPA,2,2020-08-01
2020-04-19,ICA,PISCO,1,2020-08-01
2020-04-19,JUNIN,CHUPACA,2,2020-08-01
2020-04-19,LA LIBERTAD,CHEPEN,1,2020-08-01
2020-04-19,LA LIBERTAD,TRUJILLO,2,2020-08-01
2020-04-19,LAMBAYEQUE,CHICLAYO,4,2020-08-01
2020-04-19,LAMBAYEQUE,FERREÑAFE,1,2020-08-01
2020-04-19,LAMBAYEQUE,NA,4,2020-08-01
2020-04-19,LIMA,CAÑETE,2,2020-08-01
2020-04-19,LIMA,HUARAL,1,2020-08-01
2020-04-19,LIMA,LIMA,51,2020-08-01
2020-04-19,LIMA,NA,3,2020-08-01
2020-04-19,PIURA,MORROPON,1,2020-08-01
2020-04-19,PIURA,PAITA,1,2020-08-01
2020-04-19,PIURA,PIURA,5,2020-08-01
2020-04-19,PIURA,SULLANA,1,2020-08-01
2020-04-19,SAN MARTIN,MOYOBAMBA,1,2020-08-01
2020-04-19,TUMBES,TUMBES,1,2020-08-01
2020-04-19,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-19,UCAYALI,CORONEL PORTILLO,3,2020-08-01
2020-04-19,UCAYALI,NA,1,2020-08-01
2020-04-20,ANCASH,CASMA,1,2020-08-01
2020-04-20,ANCASH,SANTA,3,2020-08-01
2020-04-20,AREQUIPA,ISLAY,1,2020-08-01
2020-04-20,CALLAO,CALLAO,4,2020-08-01
2020-04-20,CALLAO,LIMA,1,2020-08-01
2020-04-20,CALLAO,NA,3,2020-08-01
2020-04-20,HUANCAVELICA,ACOBAMBA,1,2020-08-01
2020-04-20,ICA,PALPA,1,2020-08-01
2020-04-20,LA LIBERTAD,TRUJILLO,2,2020-08-01
2020-04-20,LAMBAYEQUE,CHICLAYO,6,2020-08-01
2020-04-20,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-20,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-20,LAMBAYEQUE,NA,2,2020-08-01
2020-04-20,LIMA,CAÑETE,1,2020-08-01
2020-04-20,LIMA,HUAURA,2,2020-08-01
2020-04-20,LIMA,LIMA,62,2020-08-01
2020-04-20,LIMA,NA,1,2020-08-01
2020-04-20,PIURA,PIURA,5,2020-08-01
2020-04-20,PIURA,SULLANA,1,2020-08-01
2020-04-20,PIURA,TALARA,1,2020-08-01
2020-04-20,PUNO,SAN ROMAN,1,2020-08-01
2020-04-20,SAN MARTIN,RIOJA,1,2020-08-01
2020-04-20,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-20,UCAYALI,CORONEL PORTILLO,2,2020-08-01
2020-04-21,ANCASH,SANTA,1,2020-08-01
2020-04-21,CALLAO,CALLAO,10,2020-08-01
2020-04-21,CALLAO,NA,3,2020-08-01
2020-04-21,ICA,CHINCHA,1,2020-08-01
2020-04-21,ICA,ICA,1,2020-08-01
2020-04-21,LAMBAYEQUE,CHICLAYO,4,2020-08-01
2020-04-21,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-21,LAMBAYEQUE,NA,4,2020-08-01
2020-04-21,LIMA,CAÑETE,2,2020-08-01
2020-04-21,LIMA,HUARAL,1,2020-08-01
2020-04-21,LIMA,HUAURA,1,2020-08-01
2020-04-21,LIMA,LIMA,68,2020-08-01
2020-04-21,LIMA,NA,5,2020-08-01
2020-04-21,LORETO,MAYNAS,2,2020-08-01
2020-04-21,PIURA,PIURA,8,2020-08-01
2020-04-21,PIURA,SULLANA,1,2020-08-01
2020-04-21,TUMBES,CONTRALMIRANTE VILLAR,1,2020-08-01
2020-04-21,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-21,UCAYALI,CORONEL PORTILLO,3,2020-08-01
2020-04-22,ANCASH,SANTA,1,2020-08-01
2020-04-22,CALLAO,CALLAO,7,2020-08-01
2020-04-22,CALLAO,NA,1,2020-08-01
2020-04-22,CUSCO,LA CONVENCION,1,2020-08-01
2020-04-22,ICA,CHINCHA,3,2020-08-01
2020-04-22,ICA,NAZCA,1,2020-08-01
2020-04-22,ICA,PALPA,1,2020-08-01
2020-04-22,JUNIN,JAUJA,1,2020-08-01
2020-04-22,LA LIBERTAD,TRUJILLO,2,2020-08-01
2020-04-22,LAMBAYEQUE,CHICLAYO,7,2020-08-01
2020-04-22,LAMBAYEQUE,FERREÑAFE,5,2020-08-01
2020-04-22,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-22,LAMBAYEQUE,NA,3,2020-08-01
2020-04-22,LIMA,CAÑETE,1,2020-08-01
2020-04-22,LIMA,LIMA,73,2020-08-01
2020-04-22,LIMA,NA,4,2020-08-01
2020-04-22,LORETO,MARISCAL RAMON CASTILLA,1,2020-08-01
2020-04-22,LORETO,MAYNAS,6,2020-08-01
2020-04-22,LORETO,NA,2,2020-08-01
2020-04-22,PIURA,MORROPON,1,2020-08-01
2020-04-22,PIURA,PIURA,3,2020-08-01
2020-04-22,TUMBES,TUMBES,2,2020-08-01
2020-04-22,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-22,UCAYALI,CORONEL PORTILLO,5,2020-08-01
2020-04-22,UCAYALI,NA,3,2020-08-01
2020-04-23,ANCASH,CASMA,2,2020-08-01
2020-04-23,ANCASH,SANTA,4,2020-08-01
2020-04-23,ANCASH,NA,1,2020-08-01
2020-04-23,AREQUIPA,AREQUIPA,1,2020-08-01
2020-04-23,CALLAO,CALLAO,9,2020-08-01
2020-04-23,CALLAO,NA,3,2020-08-01
2020-04-23,ICA,CHINCHA,2,2020-08-01
2020-04-23,ICA,ICA,2,2020-08-01
2020-04-23,ICA,NA,1,2020-08-01
2020-04-23,JUNIN,HUANCAYO,1,2020-08-01
2020-04-23,LA LIBERTAD,TRUJILLO,3,2020-08-01
2020-04-23,LAMBAYEQUE,CHICLAYO,15,2020-08-01
2020-04-23,LAMBAYEQUE,FERREÑAFE,3,2020-08-01
2020-04-23,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-23,LAMBAYEQUE,NA,2,2020-08-01
2020-04-23,LIMA,CAÑETE,3,2020-08-01
2020-04-23,LIMA,HUARAL,2,2020-08-01
2020-04-23,LIMA,HUAURA,1,2020-08-01
2020-04-23,LIMA,LIMA,49,2020-08-01
2020-04-23,LORETO,MAYNAS,12,2020-08-01
2020-04-23,LORETO,NA,4,2020-08-01
2020-04-23,PIURA,PIURA,7,2020-08-01
2020-04-23,TACNA,TACNA,1,2020-08-01
2020-04-23,TUMBES,CONTRALMIRANTE VILLAR,1,2020-08-01
2020-04-23,UCAYALI,CORONEL PORTILLO,3,2020-08-01
2020-04-24,ANCASH,CASMA,1,2020-08-01
2020-04-24,ANCASH,SANTA,4,2020-08-01
2020-04-24,ANCASH,NA,1,2020-08-01
2020-04-24,CALLAO,CALLAO,15,2020-08-01
2020-04-24,CALLAO,LIMA,1,2020-08-01
2020-04-24,CALLAO,MORROPON,1,2020-08-01
2020-04-24,ICA,PISCO,2,2020-08-01
2020-04-24,LA LIBERTAD,CHEPEN,1,2020-08-01
2020-04-24,LAMBAYEQUE,CHICLAYO,13,2020-08-01
2020-04-24,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-24,LAMBAYEQUE,NA,6,2020-08-01
2020-04-24,LIMA,LIMA,64,2020-08-01
2020-04-24,LIMA,NA,4,2020-08-01
2020-04-24,LORETO,MAYNAS,9,2020-08-01
2020-04-24,LORETO,NA,3,2020-08-01
2020-04-24,PIURA,MORROPON,2,2020-08-01
2020-04-24,PIURA,PAITA,1,2020-08-01
2020-04-24,PIURA,PIURA,8,2020-08-01
2020-04-24,PIURA,SULLANA,1,2020-08-01
2020-04-24,TUMBES,CONTRALMIRANTE VILLAR,1,2020-08-01
2020-04-24,TUMBES,TUMBES,1,2020-08-01
2020-04-24,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-24,UCAYALI,CORONEL PORTILLO,2,2020-08-01
2020-04-24,UCAYALI,NA,2,2020-08-01
2020-04-25,ANCASH,SANTA,4,2020-08-01
2020-04-25,AREQUIPA,AREQUIPA,2,2020-08-01
