fecha_resultado,n,corte
2020-08-28,4086,2020-08-31
2020-03-06,1,2020-09-15
2020-03-07,5,2020-09-15
2020-03-08,2,2020-09-15
2020-03-09,3,2020-09-15
2020-03-10,1,2020-09-15
2020-03-11,8,2020-09-15
2020-03-12,8,2020-09-15
2020-03-13,10,2020-09-15
2020-03-14,19,2020-09-15
2020-03-15,28,2020-09-15
2020-03-16,20,2020-09-15
2020-03-17,27,2020-09-15
2020-03-18,56,2020-09-15
2020-03-19,62,2020-09-15
2020-03-20,56,2020-09-15
2020-03-21,30,2020-09-15
2020-03-22,39,2020-09-15
2020-03-23,33,2020-09-15
2020-03-24,64,2020-09-15
2020-03-25,100,2020-09-15
2020-03-26,52,2020-09-15
2020-03-27,34,2020-09-15
2020-03-28,136,2020-09-15
2020-03-29,142,2020-09-15
2020-03-30,130,2020-09-15
2020-03-31,250,2020-09-15
2020-04-01,117,2020-09-15
2020-04-02,222,2020-09-15
2020-04-03,292,2020-09-15
2020-04-04,833,2020-09-15
2020-04-05,444,2020-09-15
2020-04-06,647,2020-09-15
2020-04-07,1043,2020-09-15
2020-04-08,1083,2020-09-15
2020-04-09,817,2020-09-15
2020-04-10,1038,2020-09-15
2020-04-11,1404,2020-09-15
2020-04-12,738,2020-09-15
2020-04-13,1284,2020-09-15
2020-04-14,1041,2020-09-15
2020-04-15,1384,2020-09-15
2020-04-16,1329,2020-09-15
2020-04-17,1109,2020-09-15
2020-04-18,1407,2020-09-15
2020-04-19,1078,2020-09-15
2020-04-20,2039,2020-09-15
2020-04-21,2171,2020-09-15
2020-04-22,2105,2020-09-15
2020-04-23,2057,2020-09-15
2020-04-24,2239,2020-09-15
2020-04-25,2397,2020-09-15
2020-04-26,1422,2020-09-15
2020-04-27,3400,2020-09-15
2020-04-28,3367,2020-09-15
2020-04-29,4238,2020-09-15
2020-04-30,3372,2020-09-15
2020-05-01,2626,2020-09-15
2020-05-02,3371,2020-09-15
2020-05-03,1922,2020-09-15
2020-05-04,3991,2020-09-15
2020-05-05,3976,2020-09-15
2020-05-06,3634,2020-09-15
2020-05-07,3612,2020-09-15
2020-05-08,3299,2020-09-15
2020-05-09,2470,2020-09-15
2020-05-10,936,2020-09-15
2020-05-11,3601,2020-09-15
2020-05-12,4348,2020-09-15
2020-05-13,4442,2020-09-15
2020-05-14,3739,2020-09-15
2020-05-15,4306,2020-09-15
2020-05-16,4126,2020-09-15
2020-05-17,1785,2020-09-15
2020-05-18,5130,2020-09-15
2020-05-19,5199,2020-09-15
2020-05-20,5292,2020-09-15
2020-05-21,5522,2020-09-15
2020-05-22,6102,2020-09-15
2020-05-23,5404,2020-09-15
2020-05-24,1792,2020-09-15
2020-05-25,6972,2020-09-15
2020-05-26,6923,2020-09-15
2020-05-27,7374,2020-09-15
2020-05-28,6446,2020-09-15
2020-05-29,5752,2020-09-15
2020-05-30,4618,2020-09-15
2020-05-31,2262,2020-09-15
2020-06-01,4255,2020-09-15
2020-06-02,3807,2020-09-15
2020-06-03,2642,2020-09-15
2020-06-04,4084,2020-09-15
2020-06-05,4987,2020-09-15
2020-06-06,4776,2020-09-15
2020-06-07,2642,2020-09-15
2020-06-08,4768,2020-09-15
2020-06-09,5326,2020-09-15
2020-06-10,5746,2020-09-15
2020-06-11,5094,2020-09-15
2020-06-12,4672,2020-09-15
2020-06-13,4504,2020-09-15
2020-06-14,2448,2020-09-15
2020-06-15,4378,2020-09-15
2020-06-16,3407,2020-09-15
2020-06-17,3928,2020-09-15
2020-06-18,3453,2020-09-15
2020-06-19,3497,2020-09-15
2020-06-20,3538,2020-09-15
2020-06-21,1447,2020-09-15
2020-06-22,4360,2020-09-15
2020-06-23,3812,2020-09-15
2020-06-24,4173,2020-09-15
2020-06-25,4199,2020-09-15
2020-06-26,4397,2020-09-15
2020-06-27,3555,2020-09-15
2020-06-28,1615,2020-09-15
2020-06-29,2752,2020-09-15
2020-06-30,3797,2020-09-15
2020-07-01,3695,2020-09-15
2020-07-02,3383,2020-09-15
2020-07-03,3957,2020-09-15
2020-07-04,3536,2020-09-15
2020-07-05,2311,2020-09-15
2020-07-06,3828,2020-09-15
2020-07-07,4106,2020-09-15
2020-07-08,2648,2020-09-15
2020-07-09,2536,2020-09-15
2020-07-10,4993,2020-09-15
2020-07-11,4276,2020-09-15
2020-07-12,2396,2020-09-15
2020-07-13,3182,2020-09-15
2020-07-14,4247,2020-09-15
2020-07-15,4506,2020-09-15
2020-07-16,4618,2020-09-15
2020-07-17,5248,2020-09-15
2020-07-18,5224,2020-09-15
2020-07-19,2266,2020-09-15
2020-07-20,3876,2020-09-15
2020-07-21,4951,2020-09-15
2020-07-22,6089,2020-09-15
2020-07-23,5684,2020-09-15
2020-07-24,6092,2020-09-15
2020-07-25,5779,2020-09-15
2020-07-26,2988,2020-09-15
2020-07-27,7206,2020-09-15
2020-07-28,3106,2020-09-15
2020-07-29,6785,2020-09-15
2020-07-30,7408,2020-09-15
2020-07-31,7850,2020-09-15
2020-08-01,6910,2020-09-15
2020-08-02,3272,2020-09-15
2020-08-03,8069,2020-09-15
2020-08-04,8014,2020-09-15
2020-08-05,7791,2020-09-15
2020-08-06,8927,2020-09-15
2020-08-07,7759,2020-09-15
2020-08-08,7068,2020-09-15
2020-08-09,3622,2020-09-15
2020-08-10,8427,2020-09-15
2020-08-11,9192,2020-09-15
2020-08-12,9559,2020-09-15
2020-08-13,9422,2020-09-15
2020-08-14,10105,2020-09-15
2020-08-15,9131,2020-09-15
2020-08-16,3781,2020-09-15
2020-08-17,9447,2020-09-15
2020-08-18,9062,2020-09-15
2020-08-19,9558,2020-09-15
2020-08-20,10196,2020-09-15
2020-08-21,8673,2020-09-15
2020-08-22,7421,2020-09-15
2020-08-23,1960,2020-09-15
2020-08-24,8358,2020-09-15
2020-08-25,10885,2020-09-15
2020-08-26,8213,2020-09-15
2020-08-27,7423,2020-09-15
2020-08-28,8667,2020-09-15
2020-08-29,5945,2020-09-15
2020-08-30,2265,2020-09-15
2020-08-31,6129,2020-09-15
2020-09-01,6025,2020-09-15
2020-09-02,6047,2020-09-15
2020-09-03,3303,2020-09-15
2020-09-04,9369,2020-09-15
2020-09-05,3421,2020-09-15
2020-09-06,1765,2020-09-15
2020-09-07,5811,2020-09-15
2020-09-08,6076,2020-09-15
2020-09-09,5723,2020-09-15
2020-09-10,2794,2020-09-15
2020-09-11,9501,2020-09-15
2020-09-12,4456,2020-09-15
2020-09-13,1084,2020-09-15
2020-03-06,1,2020-09-30
2020-03-07,5,2020-09-30
2020-03-08,2,2020-09-30
2020-03-09,3,2020-09-30
2020-03-10,1,2020-09-30
2020-03-11,8,2020-09-30
2020-03-12,8,2020-09-30
2020-03-13,10,2020-09-30
2020-03-14,19,2020-09-30
2020-03-15,28,2020-09-30
2020-03-16,20,2020-09-30
2020-03-17,27,2020-09-30
2020-03-18,56,2020-09-30
2020-03-19,62,2020-09-30
2020-03-20,56,2020-09-30
2020-03-21,30,2020-09-30
2020-03-22,39,2020-09-30
2020-03-23,33,2020-09-30
2020-03-24,64,2020-09-30
2020-03-25,100,2020-09-30
2020-03-26,52,2020-09-30
2020-03-27,34,2020-09-30
2020-03-28,136,2020-09-30
2020-03-29,142,2020-09-30
2020-03-30,130,2020-09-30
2020-03-31,250,2020-09-30
2020-04-01,117,2020-09-30
2020-04-02,222,2020-09-30
2020-04-03,293,2020-09-30
2020-04-04,835,2020-09-30
2020-04-05,444,2020-09-30
2020-04-06,650,2020-09-30
2020-04-07,1043,2020-09-30
2020-04-08,1084,2020-09-30
2020-04-09,817,2020-09-30
2020-04-10,1038,2020-09-30
2020-04-11,1404,2020-09-30
2020-04-12,738,2020-09-30
2020-04-13,1284,2020-09-30
2020-04-14,1041,2020-09-30
2020-04-15,1384,2020-09-30
2020-04-16,1329,2020-09-30
2020-04-17,1110,2020-09-30
2020-04-18,1413,2020-09-30
2020-04-19,1078,2020-09-30
2020-04-20,2039,2020-09-30
2020-04-21,2172,2020-09-30
2020-04-22,2106,2020-09-30
2020-04-23,2057,2020-09-30
2020-04-24,2239,2020-09-30
2020-04-25,2397,2020-09-30
2020-04-26,1422,2020-09-30
2020-04-27,3400,2020-09-30
2020-04-28,3369,2020-09-30
2020-04-29,4239,2020-09-30
2020-04-30,3373,2020-09-30
2020-05-01,2629,2020-09-30
2020-05-02,3377,2020-09-30
2020-05-03,1922,2020-09-30
2020-05-04,3991,2020-09-30
2020-05-05,3976,2020-09-30
2020-05-06,3635,2020-09-30
2020-05-07,3612,2020-09-30
2020-05-08,3300,2020-09-30
2020-05-09,2470,2020-09-30
2020-05-10,936,2020-09-30
2020-05-11,3601,2020-09-30
2020-05-12,4349,2020-09-30
2020-05-13,4442,2020-09-30
2020-05-14,3739,2020-09-30
2020-05-15,4309,2020-09-30
2020-05-16,4129,2020-09-30
2020-05-17,1785,2020-09-30
2020-05-18,5130,2020-09-30
2020-05-19,5201,2020-09-30
2020-05-20,5295,2020-09-30
2020-05-21,5525,2020-09-30
2020-05-22,6103,2020-09-30
2020-05-23,5406,2020-09-30
2020-05-24,1794,2020-09-30
2020-05-25,6975,2020-09-30
2020-05-26,7003,2020-09-30
2020-05-27,7374,2020-09-30
2020-05-28,6447,2020-09-30
2020-05-29,5752,2020-09-30
2020-05-30,4621,2020-09-30
2020-05-31,2262,2020-09-30
2020-06-01,4275,2020-09-30
2020-06-02,3812,2020-09-30
2020-06-03,2647,2020-09-30
2020-06-04,4092,2020-09-30
2020-06-05,4992,2020-09-30
2020-06-06,4777,2020-09-30
2020-06-07,2643,2020-09-30
2020-06-08,4773,2020-09-30
2020-06-09,5330,2020-09-30
2020-06-10,5749,2020-09-30
2020-06-11,5099,2020-09-30
2020-06-12,4703,2020-09-30
2020-06-13,4508,2020-09-30
2020-06-14,2448,2020-09-30
2020-06-15,4388,2020-09-30
2020-06-16,3416,2020-09-30
2020-06-17,3933,2020-09-30
2020-06-18,3460,2020-09-30
2020-06-19,3521,2020-09-30
2020-06-20,3546,2020-09-30
2020-06-21,1447,2020-09-30
2020-06-22,4376,2020-09-30
2020-06-23,3824,2020-09-30
2020-06-24,4195,2020-09-30
2020-06-25,4233,2020-09-30
2020-06-26,4445,2020-09-30
2020-06-27,3603,2020-09-30
2020-06-28,1616,2020-09-30
2020-06-29,2757,2020-09-30
2020-06-30,3903,2020-09-30
2020-07-01,3756,2020-09-30
2020-07-02,3460,2020-09-30
2020-07-03,4026,2020-09-30
2020-07-04,3546,2020-09-30
2020-07-05,2319,2020-09-30
2020-07-06,3847,2020-09-30
2020-07-07,4145,2020-09-30
2020-07-08,2679,2020-09-30
2020-07-09,2556,2020-09-30
2020-07-10,5030,2020-09-30
2020-07-11,4290,2020-09-30
2020-07-12,2405,2020-09-30
2020-07-13,3199,2020-09-30
2020-07-14,4274,2020-09-30
2020-07-15,4553,2020-09-30
2020-07-16,4651,2020-09-30
2020-07-17,5301,2020-09-30
2020-07-18,5239,2020-09-30
2020-07-19,2339,2020-09-30
2020-07-20,3941,2020-09-30
2020-07-21,4981,2020-09-30
2020-07-22,6132,2020-09-30
2020-07-23,5765,2020-09-30
2020-07-24,6133,2020-09-30
2020-07-25,5814,2020-09-30
2020-07-26,2989,2020-09-30
2020-07-27,7263,2020-09-30
2020-07-28,3123,2020-09-30
2020-07-29,6821,2020-09-30
2020-07-30,7483,2020-09-30
2020-07-31,7914,2020-09-30
2020-08-01,6937,2020-09-30
2020-08-02,3284,2020-09-30
2020-08-03,8119,2020-09-30
2020-08-04,8058,2020-09-30
2020-08-05,7834,2020-09-30
2020-08-06,8988,2020-09-30
2020-08-07,7811,2020-09-30
2020-08-08,7126,2020-09-30
